"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
0124669,10,12 CT,BKRSCLS,BUN HAMBURGER SESAME 4IN 1.7OZ,51708,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6339032,1,EA,PROMO3,PROMO ALLOW CAT 2 SYSCO PROMO3,PROMO3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.0
Count: 287,Totals For 013425,,,,,,617.0,22941.749999999996,37.18273905996758,12.0,242.47,20.205833333333334,11416.728000000001,23019.219999999994
,,,,,,,,,,,,,,
"025478 STIRLING'S COFFEE HOUSE, 241 GEORGIA AVE, SEWANEE, TN 37375-0231",,,,,,,,,,,,,,
4427860,12,17.7OZ,BKRSIMP,BREAD BAGUETTE FRCH RUSTIC,18654,N,43.0,1097.79,25.53,0.0,0.0,0.0,516.0,1097.79
2836975,288,SLICE,HORMEL,BACON PRECOOKED C/C 13/17 BCN1,20182,N,9.0,1085.31,120.59,0.0,0.0,0.0,63.0,1085.31
6738928,48,4 OZ,JUSTBGL,BAGEL EVERYTHING SLI,743672002551,N,49.0,1043.21,21.29,0.0,0.0,0.0,588.0,1043.21
4631648,2,5#AVG,SPRGMTN,CHICKEN BRST DCD COOKED 1\2IN,42-03500,Y,27.0,943.65,34.95,0.0,0.0,0.0,270.0,943.65
4691149,6,2 LB,PERDUE,TURKEY BREAST SLI O/RSTD FRSH,75121,N,15.0,932.25,62.15,0.0,0.0,0.0,180.0,932.25
2836980,288,SLICE,HORMEL,BACON PRECOOKED BACON1 18/22,20174,N,8.0,848.64,106.08,0.0,0.0,0.0,52.0,848.64
1810482,1,20 LB,SPRGMTN,CHICKEN BRST MAR FIL 6-8 OZ,3186,N,13.0,806.65,62.05,0.0,0.0,0.0,260.0,806.65
2145241,2,150 CT,SMTHFLD,BACON PRECOOKED SLI HEAT & EAT,10070247125009,N,11.0,656.62,59.692727,0.0,0.0,0.0,41.25,656.62
8106833,6,2 LB,HORMEL,TURKEY BREAST SLI OIL BRN 1 OZ,32493,N,9.0,625.77,69.53,0.0,0.0,0.0,108.0,625.77
