"013425 ST. ANDREWS SEWANEE SCHOOL, 290 QUINTARD RD, SEWANEE, TN 37375-3071",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 15
8391924,2,5 LB,TYSONRL,CHICKEN BRST STRIP GRL PCK NAE,10383050928,N,2.0,69.4,34.7,0.0,0.0,0.0,20.0,69.4
0091522,3,3 LB,BTRFARM,BUTTER BALL .25 OZ SALTED  BAG,136-654,N,2.0,69.18,34.59,0.0,0.0,0.0,18.0,69.18
0335259,6,64 OZ,SILK,MILK ALMOND UNSWT,136459,N,4.0,69.08,17.27,0.0,0.0,0.0,100.68,69.08
8786780,4,1 GAL,SYS CLS,DRESSING BALSAMIC VINAIGRETTE,19126SYS,N,0.0,0.0,0.0,6.0,69.0,11.5,49.724,69.0
2047177,1,25 LB,PAREXCL,RICE BROWN PARBOILED WHLGRN QC,R2PX25QC0,N,5.0,68.95,13.79,0.0,0.0,0.0,125.0,68.95
7103439,5,2 LB,SMPLYPB,PLANTBASED PROTEIN PULLED OATS,7103439,N,1.0,68.46,68.46,0.0,0.0,0.0,10.0,68.46
4430385,6,.5 GAL,SYS IMP,CHERRY MARA STEM JUMBO PLAS,10111170,N,1.0,68.33,68.33,0.0,0.0,0.0,22.0,68.33
1435221,12,2.5 LB,SYS CLS,CORN WHL KERNEL GR A P,74865-07844,N,2.0,67.78,33.89,0.0,0.0,0.0,60.0,67.78
2431178,2,5 LB,NATHANS,FRANK ALL-BEEF 6X1 6 IN FZ,88313097108,N,2.0,67.5,33.75,0.0,0.0,0.0,20.0,67.5
1025196,48,5IN,SYS CLS,CORN COB GR A,74865-00108,N,2.0,66.94,33.47,0.0,0.0,0.0,56.0,66.94
4948089,6,5LB,BKRSCLS,MIX CORNBREAD TRDTNL COMPLT,4948089,N,2.0,66.46,33.23,0.0,0.0,0.0,62.0,66.46
3157690,1,25 LB,PRODUCR,RICE JASMINE,TO2556MP1,N,3.0,66.45,22.15,0.0,0.0,0.0,75.0,66.45
7404619,6,30 OZ,CASACLS,BEAN REFRIED VEGTRN DEHY,PBD16301CSSMVG,N,3.0,65.61,21.87,0.0,0.0,0.0,33.0,65.61
5689971,3,1.5GAL,COFMATE,CREAMER COFFEE LIQ ORIG BULK,50000879144USL,N,1.0,65.57,65.57,0.0,0.0,0.0,37.485,65.57
2744427,5,2LB,SYS REL,TOAST FRENCH STICKS BTRD WG,1000001257,N,3.0,65.49,21.83,0.0,0.0,0.0,30.0,65.49
5757051,2,5 LB,SYS CLS,BACON BIT REAL CKD 3/8 GF,734,N,1.0,65.02,65.02,0.0,0.0,0.0,12.0,65.02
4007837,12,12 OZ,TABASCO,SAUCE TABASCO HOT,29,N,1.0,64.66,64.66,0.0,0.0,0.0,17.0,64.66
